                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0126,                  5.452,                 2.1135,                0.07999,                0.15789,                0.06465,                 0.0236,                 1.8697,                 4.9689,                 2.5759,                0.00012,                0.00012,                0.00012
                      2,                 1.5757,                 3.0784,                 1.7157,                0.49304,                0.42105,                0.44458,                0.20735,                 1.7492,                 5.0604,                 1.6646,             0.00025743,             0.00025743,             0.00025743
                      3,                 1.2972,                 1.7813,                 1.3669,                0.87492,                0.94737,                0.94544,                0.42798,                 1.6417,                 5.1357,                 1.6466,             0.00039208,             0.00039208,             0.00039208
                      4,                 1.1141,                 1.4171,                 1.2694,                 0.7576,                0.78947,                0.81385,                0.45603,                 1.5314,                 4.6733,                 1.6427,             0.00052396,             0.00052396,             0.00052396
                      5,                 1.1823,                 1.2467,                 1.2761,                0.87386,                0.72962,                 0.7314,                0.38146,                 1.7407,                 3.4897,                 1.6918,             0.00065307,             0.00065307,             0.00065307
                      6,                 1.2777,                 1.3116,                 1.3659,                 0.7024,                0.62162,                0.65001,                0.43294,                 1.4931,                 3.4582,                 1.6176,             0.00077941,             0.00077941,             0.00077941
                      7,                  1.219,                 1.1654,                 1.3276,                0.95404,                0.73684,                0.79963,                0.48054,                  1.465,                 1.8944,                 1.6082,             0.00090298,             0.00090298,             0.00090298
                      8,                 1.3022,                 1.1149,                 1.3723,                0.68766,                0.47368,                0.56863,                0.32763,                 1.5709,                 2.4226,                 1.5335,              0.0010238,              0.0010238,              0.0010238
                      9,                 1.1931,                 1.0164,                 1.3293,                0.76336,                0.73684,                0.75817,                0.43009,                 1.4699,                 3.0571,                 1.7545,              0.0011418,              0.0011418,              0.0011418
                     10,                 1.3389,                 1.0386,                 1.4701,                0.91512,                0.78947,                0.84968,                0.50548,                  1.406,                 2.7904,                 1.6744,               0.001257,               0.001257,               0.001257
