                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3859,                 2.2207,                 1.4329,                0.82015,                0.90741,                0.91202,                0.49022,                 1.8161,                 4.9573,                 2.4338,             0.00065185,             0.00065185,             0.00065185
                      2,                 1.3283,                  1.046,                 1.3561,                0.37975,                0.44974,                0.35109,                0.12693,                 2.4068,                 2.8899,                  3.073,              0.0013055,              0.0013055,              0.0013055
                      3,                 1.3459,                0.99545,                 1.3606,                  0.705,                0.81481,                0.81765,                0.40853,                  1.982,                 2.2525,                 2.5404,              0.0019459,              0.0019459,              0.0019459
                      4,                 1.3647,                0.99896,                 1.3742,                0.55209,                0.56173,                0.47599,                0.19947,                 2.2502,                 4.0804,                 2.5685,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2635,                0.82159,                 1.3004,                0.48567,                0.33951,                0.32124,                0.14454,                 2.5888,                 2.1289,                 2.5617,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2713,                0.80786,                 1.3079,                0.82038,                 0.8458,                0.85697,                0.45403,                 1.8657,                 1.3014,                 1.9686,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.263,                0.81842,                  1.287,                0.90067,                0.91975,                0.93872,                0.49866,                 1.8271,                0.80679,                  1.915,               0.001901,               0.001901,               0.001901
                      8,                 1.2731,                0.82086,                 1.3091,                0.87585,                 0.9321,                0.91411,                0.50423,                 1.8035,                0.87279,                 1.9718,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2057,                0.72926,                 1.2638,                0.88253,                0.88272,                0.89531,                0.48287,                 1.8459,                0.80886,                 1.8411,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2186,                0.71738,                 1.2799,                0.91349,                0.91251,                0.91899,                0.48198,                  1.941,                0.75435,                  1.976,              0.0018416,              0.0018416,              0.0018416
